"['Moviename', 'Userscore', 'Author']"
the-villainess,7,JLuis_001
good-time,8,BrianMcCritic
the-hitmans-bodyguard,7,Compi24
maudie,9,TVJerry
good-time,8,JLuis_001
landline,7,TVJerry
the-beguiled,8,BrianMcCritic
a-ghost-story,7,JLuis_001
personal-shopper,8,Spangle
girls-trip,7,BrianMcCritic
kidnap,8,TVJerry
the-hero,8,TVJerry
the-beguiled,8,TVJerry
a-ghost-story,8,Spangle
a-ghost-story,8,BrianMcCritic
patti-cake,7,TVJerry
the-limehouse-golem,7,JLuis_001
war-for-the-planet-of-the-apes,9,Compi24
spider-man-homecoming,8,BrianMcCritic
the-big-sick,8,Spangle
the-beguiled,7,JLuis_001
band-aid,7,JLuis_001
annabelle-creation,8,BrianMcCritic
war-for-the-planet-of-the-apes,9,BrianMcCritic
the-big-sick,8,Compi24
the-big-sick,10,BrianMcCritic
it-comes-at-night,9,BrianMcCritic
baby-driver,10,BrianMcCritic
chuck,7,JLuis_001
baby-driver,10,TVJerry
alien-covenant,7,TVJerry
pirates-of-the-caribbean-dead-men-tell-no-tales,7,BrianMcCritic
war-for-the-planet-of-the-apes,7,TVJerry
alien-covenant,9,BrianMcCritic
spider-man-homecoming,8,Compi24
the-lovers-2017,7,TVJerry
transformers-the-last-knight,7,TheQuietGamer
colossal,8,Spangle
colossal,7,BrianMcCritic
free-fire,7,Compi24
gifted,7,BrianMcCritic
king-arthur-legend-of-the-sword,7,TheQuietGamer
gifted,8,Compi24
free-fire,7,Spangle
their-finest,7,Spangle
war-for-the-planet-of-the-apes,9,TheQuietGamer
baby-driver,8,Compi24
the-lost-city-of-z,8,Spangle
t2-trainspotting,7,Compi24
t2-trainspotting,8,TVJerry
spider-man-homecoming,7,TVJerry
the-lego-batman-movie,8,Spangle
the-lego-batman-movie,8,Compi24
kong-skull-island,7,BrianMcCritic
wonder-woman,7,BrianMcCritic
wonder-woman,9,Compi24
life-2017,8,TVJerry
john-wick-chapter-2,9,BrianMcCritic
life-2017,7,Compi24
kong-skull-island,7,Spangle
kong-skull-island,7,Compi24
a-united-kingdom,8,Spangle
a-united-kingdom,8,Compi24
a-united-kingdom,7,JLuis_001
john-wick-chapter-2,8,Compi24
baby-driver,7,TheQuietGamer
the-space-between-us,7,TVJerry
my-life-as-a-zucchini,8,BrianMcCritic
guardians-of-the-galaxy-vol-2,7,Compi24
get-out,9,TheQuietGamer
kong-skull-island,9,TVJerry
john-wick-chapter-2,8,TVJerry
the-lego-batman-movie,9,TheQuietGamer
spider-man-homecoming,8,TheQuietGamer
life-2017,8,TheQuietGamer
a-cure-for-wellness,8,Spangle
the-great-wall,7,Spangle
life-2017,7,Spangle
the-salesman,7,TVJerry
life-2017,8,BrianMcCritic
kong-skull-island,7,TheQuietGamer
resident-evil-the-final-chapter,8,TheQuietGamer
split,8,Compi24
get-out,9,BrianMcCritic
i-am-not-your-negro,8,TVJerry
split,7,Spangle
the-founder,8,TVJerry
guardians-of-the-galaxy-vol-2,8,BrianMcCritic
the-founder,7,Spangle
the-founder,8,BrianMcCritic
paterson,9,TVJerry
a-monster-calls,10,BrianMcCritic
paterson,8,Spangle
walking-with-the-enemy,7,TVJerry
20th-century-women,7,Spangle
john-wick-chapter-2,9,TheQuietGamer
logan-2017,9,BrianMcCritic
patriots-day,10,TVJerry
patriots-day,10,Compi24
john-wick-chapter-2,7,Spangle
patriots-day,8,BrianMcCritic
a-monster-calls,8,Spangle
a-monster-calls,7,Compi24
get-out,7,Compi24
silence,8,Spangle
fantastic-beasts-and-where-to-find-them,7,SEROJ
logan-2017,8,TVJerry
silence,9,BrianMcCritic
guardians-of-the-galaxy-vol-2,7,TheQuietGamer
la-la-land,10,SEROJ
the-eyes-of-my-mother,8,TheQuietGamer
guardians-of-the-galaxy-vol-2,7,Spangle
jackie,8,TVJerry
fantastic-beasts-and-where-to-find-them,7,TVJerry
split,7,TheQuietGamer
wonder-woman,8,TVJerry
hacksaw-ridge,10,SEROJ
jackie,9,Spangle
elle,7,TVJerry
passengers-2016,7,TheQuietGamer
split,8,BrianMcCritic
fences,7,TVJerry
allied,8,Spangle
doctor-strange,7,Compi24
get-out,7,TVJerry
hacksaw-ridge,8,TVJerry
fences,8,Spangle
moonlight-2016,8,Spangle
the-edge-of-seventeen,9,Spangle
logan-2017,10,Compi24
nocturnal-animals,8,TVJerry
trolls,7,SEROJ
passengers-2016,8,TVJerry
loving,7,BrianMcCritic
the-edge-of-seventeen,8,BrianMcCritic
loving,7,Spangle
doctor-strange,8,BrianMcCritic
hacksaw-ridge,8,Spangle
boo!-a-madea-halloween,8,TheQuietGamer
doctor-strange,7,TVJerry
hacksaw-ridge,8,Compi24
loving,9,TVJerry
the-handmaiden,8,Spangle
hacksaw-ridge,8,BrianMcCritic
